DONE



Rot for HER-id'er;2.16.578.1.12.4.1.2;her-id;Norsk helsenett;I bruk;;;;;
Rot for Identifikatorer;2.16.578.1.12.4.1.4;identifikator;KITH AS;Opprettet, men ikke tatt i bruk;;;;;
Norsk fødselsnummer;2.16.578.1.12.4.1.4.1;fødselsnummer;Skattedirektoratet;forslag (i konflikt med helse vest);;;;;
D-nummer;2.16.578.1.12.4.1.4.2;d-nummer;Skattedirektoratet;forslag (i konflikt med helse vest);;;;;
H-nummer (offisielt hjelpenummer);2.16.578.1.12.4.1.4.3;felles-hjelpenummer;Norsk helsenett;forslag (aksept fra helse vest);;;;;
Helsepersonellnummer (HPR);2.16.578.1.12.4.1.4.4;hpr-nummer;Statens autorisasjonskontor for Helsepersonell (SAFH) ;forslag (aksept fra helse vest);;;;;
DUF-nummer;2.16.578.1.12.4.1.4.5;duf-nummer;Utlendingsdirektoratet;forslag (aksept fra helse vest);;;;;
Organisasjonsnummeret i Enhetsregister (Brønnøysund);2.16.578.1.12.4.1.4.101;Organisasjonsnummer;Brønnøysundregistrene;forslag (aksept fra helse vest);;;;;
RESH-id (Nasjonalt register over enheter i spesialisthelsetjenesten);2.16.578.1.12.4.1.4.102;resh-id;Spesialisthelsetjenesten;forslag (aksept fra helse vest);;;;;
SYSVAK institusjonsnummer;2.16.578.1.12.4.1.4.105;SYSVAK institusjonsnummer;INGEN DATA;Usikker på om denne er i bruk eller hører til gammel Sysvak-løsnin;Ikke lagt ut på www.kith.no;;;;
Apotekets identifikasjonsnummer;2.16.578.1.12.4.1.4.106;Apotekets identifikasjonsnummer;INGEN DATA;Usikker på om denne er i bruk eller hører til gammel eResept;Ikke lagt ut på www.kith.no;;;;
Apotekets konsesjonsnummer;2.16.578.1.12.4.1.4.107;apotekets-konsesjonsnummer;Statens Legemiddelverk;forslag (aksept fra helse vest);;;;;
Rot for standarder;2.16.578.1.12.4.1.5;standard;KITH AS;I bruk;Ikke lagt ut på www.kith.no;;;;
Rot for EPJ-komponenter;2.16.578.1.12.4.1.6.;epj-komponenttype;KITH AS;I bruk;;;;;
Rot for dataelementtype;2.16.578.1.12.4.1.6.11;epj-dataelementtype;KITH AS;I bruk;;;;;
Rot for EPJ fragmenttype;2.16.578.1.12.4.1.6.12;epj-fragmenttype;KITH AS;I bruk;;;;;
Rot for EPJ dokumenttype;2.16.578.1.12.4.1.6.13;epj-dokumenttype;KITH AS;I bruk;;;;;
Rot for EPJ sakstype;2.16.578.1.12.4.1.6.14;epj-sakstype;KITH AS;I bruk;;;;;
Rot for dokumentdeling;2.16.578.1.12.4.1.7;dokumentdeling;Direktoratet for e-helse;I bruk;;;;;
;2.16.578.1.12.4.1.7.1;affinity domains;Direktoratet for e-helse;I bruk;;;;;
;2.16.578.1.12.4.1.7.1.1;Helsenorge;Norsk helsenett;I bruk;;;;;
;2.16.578.1.12.4.1.7.1.2;XCA-miljøene Helsenorge (?);Norsk helsenett;I bruk;;;;;
;2.16.578.1.12.4.1.7.1.10;Aleris Røntgen;Aleris;I bruk;;;;;
;2.16.578.1.12.4.1.7.1.11;Diakonhjemmet Sykehus;Diakonhjemmet Sykehus AS;I bruk;;;;;
;2.16.578.1.12.4.1.8;definisjonskataloger;Direktoratet for e-helse;;;;;;
Rot for Helse Midt-Norge;2.16.578.1.12.4.2;helse-midt-norge;Helse Midt-Norge RHF;Tildelt;;;;;
Rot for Helse SørØst;2.16.578.1.12.4.3;helse-sør-øst;Helse Sør-Øst RHF;Opprettet, men ikke informert helse sør-øst;;;;;
Rot for Helse Nord;2.16.578.1.12.4.4;helse-nord;Helse Nord RHF;Opprettet, men ikke informert helse nord;;;;;

RÅ

Rot for helse- og sosialsektoren;2.16.578.1.12.4;helse-og-sosialsektoren;KITH AS;I bruk;;;;;
Rot for oid'er tildelt av KITH;2.16.578.1.12.4.1;tildelt-av-kith;KITH AS;I bruk;;;;;
Rot for kodeverk publisert på Volven;2.16.578.1.12.4.1.1;kodeverk;KITH AS;I bruk;;;;;
Rot for HER-id'er;2.16.578.1.12.4.1.2;her-id;Norsk helsenett;I bruk;;;;;
Rot for Identifikatorer;2.16.578.1.12.4.1.4;identifikator;KITH AS;Opprettet, men ikke tatt i bruk;;;;;
Norsk fødselsnummer;2.16.578.1.12.4.1.4.1;fødselsnummer;Skattedirektoratet;forslag (i konflikt med helse vest);;;;;
D-nummer;2.16.578.1.12.4.1.4.2;d-nummer;Skattedirektoratet;forslag (i konflikt med helse vest);;;;;
